Problema,n,K,m,z,S,CPU,nodos generados
max_div_15_2.txt,15,2,2,11.859216,8 6,0.000862,120
max_div_15_2.txt,15,2,3,27.372700,0 6 8,0.010007,575
max_div_15_2.txt,15,2,4,49.826781,0 5 6 8,0.098454,1940
max_div_15_2.txt,15,2,5,79.129530,0 3 5 6 8,1.241063,4943
max_div_20_2.txt,20,2,2,8.510329,17 18,0.001862,210
max_div_20_2.txt,20,2,3,21.996086,8 17 18,0.022827,1350
max_div_20_2.txt,20,2,4,40.002258,1 2 8 18,0.433534,6195
max_div_20_2.txt,20,2,5,63.651679,1 8 13 17 18,9.886491,21699
max_div_30_2.txt,30,2,2,11.657144,8 27,0.004414,465
max_div_30_2.txt,30,2,3,28.944300,1 8 27,0.072610,4525
max_div_30_2.txt,30,2,4,52.771171,8 27 1 10,4.908056,31930
max_div_30_2.txt,30,2,5,80.910241,1 8 10 12 27,319.309285,174436
max_div_15_3.txt,15,3,2,13.273240,11 8,0.000322,120
max_div_15_3.txt,15,3,3,31.868526,11 4 6,0.004461,575
max_div_15_3.txt,15,3,4,59.763759,11 8 4 10,0.078233,1940
max_div_15_3.txt,15,3,5,96.085832,3 4 8 11 13,0.979716,4943
max_div_20_3.txt,20,3,2,11.800309,12 13,0.001006,210
max_div_20_3.txt,20,3,3,30.872658,7 12 13,0.019772,1350
max_div_20_3.txt,20,3,4,56.690310,2 12 13 16,0.426332,6195
max_div_20_3.txt,20,3,5,92.829743,2 7 12 13 16,9.887281,21699
max_div_30_3.txt,30,3,2,13.073737,16 6,0.002172,465
max_div_30_3.txt,30,3,3,34.290529,5 16 23,0.065726,4525
max_div_30_3.txt,30,3,4,63.701960,5 13 16 23,5.005839,31930
max_div_30_3.txt,30,3,5,99.592041,5 13 14 16 23,306.612890,174436
